Toolgroup Machineid at duration
DE_FE_86 252 145 16439
WE_FE_108 1393 612 22172
Dielectric_BE_27 802 691 14508
DE_BE_13 36 922 28818
Litho_FE_111 983 1115 55250
DE_BE_65 75 1427 66136
TF_FE_103 1306 1883 31439
LithoTrack_FE_95 1176 2347 94472
LithoTrack_FE_115 1116 3897 40577
EPI_36 912 4360 44258
Litho_FE_111 986 4721 8752
DE_FE_59 160 4767 22309
DE_FE_51 116 5405 9660
WE_FE_108 1383 5524 23989
DE_FE_86 352 6056 2763
LithoTrack_FE_115 1109 6145 11952
DE_BE_13 19 7568 9565
TF_BE_23 1247 7690 25652
Dielectric_BE_27 797 8552 16977
DE_FE_72 224 9315 22645
WE_FE_85 1442 9565 8052
DE_BE_67 98 11339 18126
Implant_91 944 12557 16916
WE_BE_82 1357 12640 17458
Diffusion_FE_127 887 13229 19617
TF_FE_131 1316 13438 9459
TF_BE_26 1277 13446 18329
Diffusion_FE_44 894 13938 681
TF_BE_26 1279 15042 40158
EPI_38 914 15095 44795
Planar_FE_76 1223 15489 969
LithoTrack_FE_115 1106 15651 77833
Diffusion_FE_126 879 16365 18176
WE_BE_14 1332 16720 4334
LithoTrack_FE_95 1192 17692 29603
DE_FE_86 350 18033 13264
DE_FE_86 343 18505 1437
DE_FE_86 340 18858 5827
DE_FE_86 282 19960 1798
WE_BE_82 1359 21092 3218
LithoTrack_FE_115 1109 21794 41559
Litho_FE_92 1013 21830 34743
DE_FE_71 210 21840 13640
DE_FE_86 268 22132 3789
WE_BE_14 1334 22372 8207
Diffusion_FE_127 886 22420 4692
TF_BE_24 1263 23611 22946
LithoMet_BE_18 1066 24280 5875
Diffusion_FE_94 903 24297 8175
DE_FE_72 221 24321 24838
Litho_FE_111 1002 25033 129935
DE_FE_72 223 25087 4531
DE_BE_67 99 25107 11549
LithoTrack_FE_115 1117 25431 61705
DE_FE_51 123 25447 4536
TF_BE_40 1302 25911 11519
DE_BE_69 105 25953 67
DE_FE_70 183 26014 3896
WE_FE_108 1395 26962 8644
LithoTrack_FE_95 1174 27092 60240
LithoTrack_FE_95 1193 27437 9385
Litho_REG_BE_63 1046 27532 753
DE_FE_86 316 27620 1653
TF_BE_40 1280 27824 4635
Diffusion_FE_125 874 27995 13610
DE_BE_13 22 28288 5899
Implant_91 942 28643 54990
DE_BE_48 49 28975 16520
DE_FE_86 279 29136 38260
Litho_REG_FE_64 1051 29412 10049
DE_FE_51 132 29913 3987
LithoTrack_FE_115 1147 30890 16755
LithoTrack_FE_115 1104 32555 66910
DE_FE_86 267 34551 331
LithoTrack_FE_95 1152 35488 5959
Litho_BE_110 957 36045 30901
DE_BE_11 2 36169 10980
TF_BE_24 1262 36895 7435
LithoTrack_FE_115 1101 37565 15132
DE_FE_59 159 38166 11608
DE_FE_86 262 38877 14001
TF_BE_40 1284 38972 17737
DE_FE_62 174 39909 1063
DE_FE_86 256 41049 23471
DE_FE_59 156 41187 93
DE_FE_72 218 41527 64467
LithoTrack_FE_115 1111 41590 2607
TF_BE_40 1283 41648 15663
DE_FE_86 348 44105 745
DE_FE_86 355 44227 4575
DE_FE_53 135 44452 16315
Litho_REG_BE_63 1048 45412 414
Implant_91 946 45982 125890
DE_FE_86 315 47373 5100
Planar_FE_78 1228 48104 1134
Litho_REG_FE_64 1062 48554 1557
Implant_91 945 49064 2191
TF_FE_3 1322 49436 12623
DE_FE_86 347 49469 3129
Dielectric_FE_112 814 50722 15574
DE_BE_66 87 51314 31974
Litho_REG_FE_64 1056 51400 28
Diffusion_FE_120 859 51991 87
DE_BE_65 67 52712 20908
Litho_BE_110 953 53431 50799
DE_FE_72 219 53489 9958
LithoTrack_FE_115 1150 53498 12
DE_FE_59 157 53506 9347
WE_BE_14 1335 56786 7226
Diffusion_BE_123 837 56922 1851
DE_FE_86 324 59353 7833
DE_BE_66 78 62234 12330
Litho_REG_FE_64 1057 62869 1369
LithoMet_FE_19 1086 62983 1519
DE_FE_86 337 63192 2657
DE_FE_54 139 63319 5865
