lot	product	step	tool	machine	start_time	end_time
5	1	1	we_fe_108	6	0.0	59.0
6	2	0	tf_met_fe_45	4	0.0	588.0
0	1	0	tf_met_fe_45	5	0.0	588.0
2	3	0	tf_met_fe_45	4	588.0	1176.0
1	2	1	we_fe_108	7	0.0	59.0
3	4	2	we_fe_83	8	0.0	62.0
9	5	1	we_fe_108	6	59.0	118.0
8	4	0	tf_met_fe_45	5	588.0	1176.0
7	3	2	we_fe_83	9	0.0	62.0
4	5	0	tf_met_fe_45	4	1176.0	1764.0
5	1	2	we_fe_83	8	62.0	124.0
6	2	1	we_fe_108	7	588.0	647.0
0	1	1	we_fe_108	6	588.0	647.0
2	3	1	we_fe_108	6	1176.0	1235.0
1	2	2	we_fe_83	9	62.0	124.0
3	4	3	we_fe_84	10	62.0	116.0
9	5	2	we_fe_83	8	124.0	186.0
8	4	1	we_fe_108	7	1176.0	1235.0
7	3	3	we_fe_84	11	62.0	116.0
4	5	1	we_fe_108	6	1764.0	1823.0
5	1	3	we_fe_84	10	124.0	178.0
6	2	2	we_fe_83	9	647.0	709.0
0	1	2	we_fe_83	8	647.0	709.0
2	3	2	we_fe_83	8	1235.0	1297.0
1	2	3	we_fe_84	11	124.0	178.0
3	4	4	lithotrack_fe_115	2	116.0	246.0
9	5	3	we_fe_84	10	186.0	240.0
8	4	2	we_fe_83	9	1235.0	1297.0
7	3	4	lithotrack_fe_115	3	116.0	246.0
4	5	2	we_fe_83	8	1823.0	1885.0
5	1	4	lithotrack_fe_115	2	246.0	376.0
6	2	3	we_fe_84	11	709.0	763.0
0	1	3	we_fe_84	10	709.0	763.0
2	3	3	we_fe_84	10	1297.0	1351.0
1	2	4	lithotrack_fe_115	3	246.0	376.0
9	5	4	litho_fe_111	0	240.0	355.0
8	4	3	we_fe_84	11	1297.0	1351.0
4	5	3	we_fe_84	10	1885.0	1939.0
6	2	4	lithotrack_fe_115	2	763.0	893.0
0	1	4	lithotrack_fe_115	3	763.0	893.0
2	3	4	lithotrack_fe_115	2	1351.0	1481.0
8	4	4	lithotrack_fe_115	3	1351.0	1481.0
4	5	4	litho_fe_111	1	1939.0	2054.0
